lote_id,status_raw,turno,tem_obs,classe
HIST-0001,EM AJUSTE,noite,1,revisar
HIST-0002,AGUARDANDO,manhã,1,recusar_automatico
HIST-0003,DEVOLVIDO,noite,1,valido_automatico
HIST-0004,INDEFINIDO,manhã,1,revisar
HIST-0005,AGUARDANDO,manhã,1,valido_automatico
HIST-0006,AGUARDANDO,noite,1,valido_automatico
HIST-0007,AGUARDANDO,manhã,1,recusar_automatico
HIST-0008,QUARENTENA,manhã,1,valido_automatico
HIST-0009,LIBERADO PARCIAL,tarde,0,revisar
HIST-0010,DEVOLVIDO,noite,1,valido_automatico
HIST-0011,RETRABALHO,tarde,0,revisar
HIST-0012,EM AJUSTE,noite,1,revisar
HIST-0013,RETRABALHO,noite,0,revisar
HIST-0014,RETRABALHO,manhã,0,revisar
HIST-0015,AGUARDANDO,manhã,1,valido_automatico
HIST-0016,AGUARDANDO,tarde,1,valido_automatico
HIST-0017,CANCELADO,noite,1,recusar_automatico
HIST-0018,LIBERADO PARCIAL,noite,1,valido_automatico
HIST-0019,QUARENTENA,tarde,1,valido_automatico
HIST-0020,BLOQUEADO,tarde,0,recusar_automatico
HIST-0021,QUARENTENA,manhã,1,valido_automatico
HIST-0022,LIBERADO PARCIAL,tarde,1,valido_automatico
HIST-0023,INDEFINIDO,tarde,1,revisar
HIST-0024,INDEFINIDO,manhã,0,revisar
HIST-0025,EM ANALISE,tarde,1,revisar
HIST-0026,INDEFINIDO,tarde,1,revisar
HIST-0027,EM AJUSTE,tarde,1,valido_automatico
HIST-0028,RETRABALHO,tarde,1,revisar
HIST-0029,BLOQUEADO,noite,1,recusar_automatico
HIST-0030,QUARENTENA,manhã,1,valido_automatico
HIST-0031,BLOQUEADO,tarde,1,recusar_automatico
HIST-0032,INDEFINIDO,noite,1,revisar
HIST-0033,EM ANALISE,tarde,1,revisar
HIST-0034,RETRABALHO,manhã,0,revisar
HIST-0035,EM AJUSTE,noite,0,revisar
HIST-0036,DEVOLVIDO,tarde,1,valido_automatico
HIST-0037,CANCELADO,tarde,0,recusar_automatico
HIST-0038,BLOQUEADO,manhã,1,recusar_automatico
HIST-0039,EM ANALISE,noite,0,revisar
HIST-0040,RETRABALHO,noite,0,revisar
HIST-0041,DEVOLVIDO,tarde,0,recusar_automatico
HIST-0042,BLOQUEADO,noite,0,recusar_automatico
HIST-0043,LIBERADO PARCIAL,noite,0,valido_automatico
HIST-0044,DEVOLVIDO,manhã,0,recusar_automatico
HIST-0045,LIBERADO PARCIAL,manhã,1,valido_automatico
HIST-0046,INDEFINIDO,tarde,1,revisar
HIST-0047,AGUARDANDO,noite,1,valido_automatico
HIST-0048,AGUARDANDO,manhã,1,valido_automatico
HIST-0049,EM ANALISE,manhã,1,valido_automatico
HIST-0050,CANCELADO,tarde,0,recusar_automatico
HIST-0051,RETRABALHO,noite,0,revisar
HIST-0052,LIBERADO PARCIAL,manhã,0,revisar
HIST-0053,DEVOLVIDO,tarde,0,recusar_automatico
HIST-0054,BLOQUEADO,manhã,0,recusar_automatico
HIST-0055,DEVOLVIDO,tarde,1,revisar
HIST-0056,AGUARDANDO,noite,0,revisar
HIST-0057,CANCELADO,tarde,1,recusar_automatico
HIST-0058,AGUARDANDO,noite,0,revisar
HIST-0059,QUARENTENA,tarde,0,revisar
HIST-0060,EM AJUSTE,manhã,1,revisar
HIST-0061,RETRABALHO,tarde,0,revisar
HIST-0062,CANCELADO,manhã,0,recusar_automatico
HIST-0063,LIBERADO PARCIAL,noite,1,valido_automatico
HIST-0064,LIBERADO PARCIAL,tarde,1,valido_automatico
HIST-0065,BLOQUEADO,manhã,0,recusar_automatico
HIST-0066,INDEFINIDO,manhã,1,revisar
HIST-0067,DEVOLVIDO,manhã,0,recusar_automatico
HIST-0068,DEVOLVIDO,tarde,1,valido_automatico
HIST-0069,DEVOLVIDO,noite,0,valido_automatico
HIST-0070,BLOQUEADO,tarde,1,recusar_automatico
HIST-0071,DEVOLVIDO,manhã,1,valido_automatico
